"id","male","race","age","exp","dis","vet","jk1","jk2","jk3","con1","con2","con3","con4","emo1","emo2","emo3","emo4","int1","int2","int3","lapr"
51963,1,2,30,36,0,1,32,31,29,4,3,3,3,4,4,3,2,3,3,2,2
25240,1,1,27,39,0,0,26,25,26,4,3,3,3,3,4,3,3,2,2,1,5
43701,0,1,31,43,0,0,26,23,25,3,3,4,3,3,4,3,3,2,2,1,2
93022,0,1,30,40,1,1,27,29,27,4,4,2,4,4,2,5,2,3,3,3,5
90755,1,1,28,36,0,0,26,24,28,3,2,3,3,3,4,3,3,2,3,2,1
95373,1,1,26,37,0,0,26,25,24,3,4,3,3,3,3,4,2,1,1,1,2
78157,0,1,35,47,0,0,25,26,27,3,3,3,3,3,4,4,3,2,3,3,5
69943,1,3,25,38,0,0,27,27,27,4,4,2,4,3,4,3,2,2,2,2,4
78535,1,2,26,32,0,0,25,27,27,4,4,2,4,3,3,4,2,2,2,2,3
27379,1,2,30,39,0,0,29,29,29,4,4,2,4,3,4,3,3,2,3,2,4
43246,0,2,26,39,0,0,30,25,25,5,5,2,4,3,5,3,2,2,2,2,3
59785,0,1,27,36,0,0,26,26,28,3,3,3,4,4,3,4,2,3,3,3,4
26961,0,2,32,47,1,0,28,27,30,3,3,3,3,3,4,4,2,3,3,3,3
41784,0,2,28,32,0,0,25,26,27,3,3,3,3,3,4,3,3,2,3,3,3
60165,1,3,22,32,0,0,22,23,24,3,2,3,3,3,3,4,2,1,1,1,4
95831,1,1,28,37,0,1,26,28,26,3,3,3,3,4,3,3,2,2,2,2,3
43025,0,1,32,41,0,0,28,25,29,3,3,3,3,3,4,4,2,3,3,2,3
59230,1,1,31,35,0,0,29,28,27,3,4,3,3,4,3,4,2,2,2,3,2
78279,1,1,28,33,0,0,29,28,26,3,3,3,3,5,3,4,1,3,2,2,3
10901,0,1,24,25,0,0,21,20,20,2,2,4,2,3,4,3,3,1,1,1,1
56300,0,1,28,32,0,0,24,26,26,3,2,3,3,4,2,4,2,1,2,1,3
46999,1,1,33,40,0,0,26,27,27,4,3,3,3,4,3,4,2,2,2,2,2
61322,1,2,24,34,0,0,25,27,26,4,4,2,5,3,3,3,3,2,2,2,5
80126,0,3,34,44,0,0,24,25,25,3,2,4,2,3,3,4,3,2,2,3,3
40927,0,1,37,46,1,1,28,29,29,3,3,3,2,3,4,3,3,3,3,3,4
45669,1,3,31,39,0,0,30,31,30,5,4,2,4,4,3,3,2,2,2,2,3
68889,1,3,28,40,0,0,26,25,25,3,3,4,3,3,4,3,3,2,2,2,3
30373,1,1,33,43,0,0,29,30,30,3,3,3,2,3,3,3,2,3,3,3,4
69010,0,3,25,33,0,0,25,26,26,3,3,3,3,4,4,4,2,2,2,1,4
18625,1,1,29,47,0,0,27,28,27,4,3,2,4,3,3,3,3,2,3,3,5
43527,1,1,31,41,0,0,24,24,26,3,3,3,3,3,4,3,3,1,1,1,2
77286,1,1,34,46,0,0,28,28,30,4,4,2,4,2,5,3,3,2,2,3,3
23382,1,3,29,38,0,0,26,27,27,4,4,2,4,4,3,4,2,3,2,3,4
31343,1,3,23,26,0,0,25,26,28,4,3,2,4,4,2,5,1,1,2,2,3
18517,1,1,31,47,0,0,31,28,30,4,4,3,4,4,4,4,2,3,3,3,3
12532,1,1,30,41,0,0,28,27,28,4,3,3,3,4,3,5,2,2,3,3,4
16603,0,1,25,33,0,0,28,30,31,5,5,1,5,4,3,5,2,3,2,1,3
83519,0,1,29,39,0,0,27,27,26,4,4,2,4,4,3,4,1,3,2,3,3
93830,1,1,22,25,0,0,26,26,24,3,4,2,3,4,2,5,2,2,2,2,2
70029,1,1,26,38,0,0,28,27,26,4,3,3,3,4,3,3,2,2,2,2,4
94112,0,1,25,37,0,0,23,22,24,3,3,3,3,2,5,2,3,2,2,1,2
96405,0,1,35,38,1,0,28,28,29,3,2,3,3,4,3,5,2,3,3,3,1
51556,0,1,26,33,0,0,26,24,27,4,4,2,4,4,3,5,2,3,2,2,3
40657,1,3,29,37,0,0,28,29,29,3,3,3,3,3,4,3,2,2,3,2,1
74463,1,1,27,29,0,1,29,27,29,4,4,3,4,4,4,4,1,3,2,2,1
41547,1,1,33,44,0,0,26,27,28,4,4,2,4,3,4,4,3,2,2,2,4
47801,0,3,26,38,0,0,24,27,26,4,5,1,5,4,3,5,2,2,2,1,5
90517,1,3,30,30,0,0,30,29,29,5,5,3,4,3,4,3,3,3,3,3,3
65722,1,2,27,38,0,0,31,30,28,4,3,3,3,3,4,2,3,2,3,2,3
74760,0,2,29,36,0,0,29,26,27,4,4,3,3,4,4,4,2,2,2,2,3
47740,1,1,28,33,0,1,32,30,28,5,5,2,5,4,4,3,2,2,2,3,4
24735,1,3,29,39,0,0,30,27,26,4,4,3,3,3,4,3,2,2,3,2,5
80301,1,1,28,48,0,0,27,29,28,4,4,2,4,3,3,3,2,2,2,2,5
31317,1,1,30,29,0,1,28,28,28,4,4,2,4,3,3,3,3,3,3,3,3
37982,1,1,27,37,0,0,31,26,25,4,5,3,3,3,4,3,3,2,3,2,2
59749,1,1,30,34,0,1,24,27,24,4,4,2,4,3,3,3,4,1,2,1,1
95394,1,3,27,42,0,0,25,22,23,2,3,4,3,3,5,2,3,1,1,1,4
32598,1,1,35,40,0,0,29,28,28,3,2,4,2,4,4,4,3,3,3,3,4
14986,1,1,32,42,0,0,23,25,26,2,1,4,2,2,5,2,4,2,3,3,2
76991,1,1,32,39,0,0,28,27,30,4,3,3,4,3,3,4,2,2,3,2,5
51447,0,2,24,29,0,0,26,23,24,4,5,3,4,3,4,3,3,2,1,1,1
58665,0,1,25,26,0,0,21,19,21,1,2,4,2,3,4,3,3,2,1,1,1
67883,1,2,25,32,0,0,26,25,26,4,5,2,4,3,4,3,2,2,1,1,1
51890,1,2,26,36,0,0,28,28,26,3,4,3,4,4,3,4,1,2,2,1,2
57992,1,4,26,42,0,0,24,27,26,4,4,2,5,2,4,2,3,2,2,1,3
93910,1,1,29,38,0,0,26,23,25,3,3,4,3,2,5,1,4,1,2,1,1
71090,1,2,27,26,0,0,27,28,30,5,3,2,4,3,3,4,2,3,3,3,2
65726,0,1,28,38,0,0,20,21,23,3,3,3,4,3,4,3,3,1,1,1,1
77593,1,3,32,40,0,0,27,26,29,2,1,4,2,2,5,2,4,2,3,2,1
97480,1,1,29,36,0,0,26,25,28,3,3,4,3,3,4,4,3,2,2,2,2
42738,0,2,30,37,0,0,24,25,25,3,2,3,3,4,3,5,2,2,2,1,3
32095,0,1,26,31,0,0,25,27,28,4,3,2,4,3,3,4,2,2,3,2,3
42403,1,1,24,33,0,0,27,27,28,3,4,3,4,3,3,4,2,2,2,1,2
62930,0,3,29,34,0,0,25,25,24,4,4,2,3,3,5,3,4,1,1,2,2
23909,1,1,25,31,0,0,22,21,22,2,2,4,3,3,4,3,3,2,1,1,1
30133,0,1,29,33,0,0,25,25,26,3,3,3,3,4,3,4,3,3,3,3,3
26017,0,1,32,45,0,1,28,28,29,4,3,2,4,4,4,3,3,3,3,3,4
55162,1,1,29,40,0,0,27,28,28,3,3,2,3,3,4,3,3,3,3,3,5
49100,0,1,26,32,0,0,26,25,26,3,3,3,3,3,4,3,3,2,1,2,3
28320,1,3,24,32,0,0,29,27,28,4,3,3,3,3,4,3,2,3,2,2,4
46902,1,3,29,36,0,0,28,28,27,4,3,2,3,3,4,3,3,2,2,2,3
75751,1,1,27,35,0,0,26,26,27,3,3,2,4,3,4,4,2,2,2,2,2
44082,1,1,34,43,0,1,25,30,29,4,4,2,4,3,2,5,2,3,2,2,4
77473,0,1,26,33,0,0,25,25,26,3,4,3,4,4,3,5,1,2,2,2,1
27591,1,1,27,31,0,0,25,25,26,3,3,3,4,2,5,2,4,3,3,3,1
16599,1,1,30,40,0,1,25,23,24,2,3,3,3,3,4,3,4,2,2,2,4
76581,0,1,26,40,0,0,24,26,23,3,4,2,3,3,4,2,4,2,2,2,5
62393,1,3,30,41,0,0,28,27,29,3,3,3,3,3,4,4,2,2,3,2,4
45701,1,3,28,34,0,0,26,28,28,3,3,3,3,3,3,4,2,1,2,3,3
98122,1,2,32,44,0,0,28,29,28,4,4,2,4,4,4,4,3,3,3,3,5
38131,1,1,29,36,0,0,28,27,30,4,3,3,4,2,5,2,4,3,3,3,2
28400,0,1,31,45,1,0,25,25,26,2,3,3,3,3,4,4,3,2,2,2,3
28844,0,3,28,39,0,0,23,24,23,2,3,3,3,2,4,2,4,2,1,1,1
63789,1,1,30,36,0,0,23,23,24,3,4,3,4,3,4,3,3,1,1,1,1
37099,1,3,32,42,0,0,29,27,28,4,4,3,4,3,4,3,3,2,2,2,3
91468,0,3,24,33,0,0,25,25,23,3,4,3,3,3,3,3,3,2,2,3,2
59673,1,1,35,45,0,1,29,28,28,5,5,2,4,3,4,3,3,1,2,2,3
17564,1,1,27,31,0,0,26,26,27,2,2,4,3,3,4,3,3,2,2,2,1
95788,0,1,28,33,0,0,27,23,22,3,3,4,2,4,4,3,2,2,1,1,3
74288,1,2,22,36,0,0,22,22,23,1,2,3,3,3,5,3,4,1,2,1,3
39100,0,1,26,35,0,0,26,24,23,3,4,2,4,3,5,2,4,2,2,2,4
74986,1,3,25,33,0,0,27,29,26,4,4,2,3,4,3,4,2,2,2,1,3
54702,1,2,26,37,0,0,25,27,25,3,4,2,4,3,4,3,3,2,2,2,3
88424,1,1,25,35,0,0,27,26,27,5,5,2,5,3,4,4,2,1,2,1,3
36765,0,3,30,41,0,0,28,30,26,4,4,2,3,3,3,3,2,2,2,2,3
66479,1,1,37,52,0,0,27,25,26,3,3,3,3,3,4,3,3,2,3,2,3
85579,0,1,26,37,0,1,28,27,26,4,4,2,4,4,4,4,2,2,2,2,4
99599,1,3,33,40,0,0,26,26,29,3,3,3,4,3,4,3,3,2,3,2,2
22211,1,3,33,40,0,0,27,28,29,2,2,4,2,3,4,3,3,1,2,2,2
67823,1,2,36,37,0,1,27,28,29,4,3,3,3,3,4,4,3,2,1,2,1
22773,1,1,24,32,0,0,30,26,28,3,3,3,3,3,4,3,2,3,2,2,1
77361,0,3,31,34,0,0,27,28,29,3,2,3,3,4,3,4,2,2,3,3,2
36904,1,1,24,32,0,0,22,28,28,3,4,1,5,3,2,5,2,2,3,3,3
93371,0,1,20,27,0,0,25,22,21,3,3,3,3,4,4,4,2,2,1,2,3
74114,0,3,27,32,0,0,27,26,24,4,5,2,3,3,4,3,3,2,2,1,4
30344,0,1,31,42,0,0,27,24,25,3,3,4,2,3,4,2,3,2,2,2,3
78484,1,1,27,34,0,0,27,27,30,4,3,3,4,4,3,5,2,3,3,3,4
56457,0,2,29,35,0,1,26,23,24,4,4,2,4,3,5,3,3,2,2,2,3
57926,1,1,26,26,0,0,25,25,26,3,2,3,3,3,4,3,3,2,2,2,1
60341,1,3,29,39,0,1,25,27,28,4,3,2,4,3,4,3,3,2,1,1,3
46565,1,1,33,42,0,0,25,27,29,3,4,3,4,2,3,3,3,2,2,3,3
97144,0,1,25,32,0,0,31,28,27,3,3,3,3,4,4,3,2,3,3,3,4
90843,0,1,29,44,0,0,19,20,19,2,3,2,3,3,4,3,4,1,1,1,3
27374,0,3,27,30,0,0,24,24,26,4,3,3,4,3,4,3,3,2,2,2,1
41974,1,1,31,38,0,0,23,23,21,3,5,3,3,2,5,1,5,2,1,1,2
16606,1,3,32,45,0,0,24,25,27,3,3,2,3,3,4,4,2,1,2,1,4
53107,0,1,24,34,0,0,25,23,24,3,4,3,5,4,3,4,2,3,3,3,5
23499,0,1,27,37,0,1,27,28,28,4,4,2,4,3,3,4,3,3,3,3,5
17067,1,1,30,43,0,0,25,27,25,4,5,2,4,4,3,4,2,2,1,1,5
83082,1,1,25,31,0,0,25,26,23,3,4,2,4,4,3,4,3,2,2,1,2
88202,1,1,28,33,0,0,25,25,25,3,2,4,2,3,4,3,3,2,2,1,1
34012,0,3,33,38,0,0,25,25,24,4,4,3,3,3,3,4,3,2,2,1,3
60842,1,3,31,49,0,0,27,30,29,3,4,2,4,3,3,4,2,3,2,2,4
22366,1,2,31,42,0,0,27,26,26,2,3,4,3,3,4,3,3,1,2,2,3
81610,1,3,34,46,0,0,28,32,30,4,4,1,4,3,4,3,3,3,3,3,5
37257,1,1,28,44,0,0,29,26,26,3,4,2,3,4,4,4,3,2,2,2,5
24149,0,1,26,38,0,0,25,25,24,2,4,3,4,4,2,5,1,2,2,2,3
37323,0,1,29,43,0,0,29,29,29,4,5,2,5,4,3,4,1,3,3,3,2
36994,0,3,30,30,0,0,25,26,27,3,3,3,3,2,4,3,3,2,2,1,1
16897,0,2,28,41,0,0,25,26,26,3,4,2,4,3,3,4,2,2,3,3,5
23102,0,2,29,36,0,0,26,25,27,5,4,2,4,3,4,4,3,2,2,2,3
37907,1,4,35,38,0,0,26,24,26,2,1,4,1,3,4,4,3,2,1,1,1
93597,1,3,31,40,0,0,28,27,25,3,3,3,2,3,4,3,3,1,2,1,2
61373,1,2,35,37,0,0,28,28,28,4,3,3,2,3,4,3,3,2,3,3,3
70969,1,3,28,36,0,0,27,26,27,3,3,3,3,3,5,2,3,2,3,2,1
71301,1,2,31,45,0,0,25,27,26,3,3,3,3,3,4,3,3,2,2,2,2
46390,1,1,30,38,0,0,23,23,24,2,2,4,2,3,4,3,3,2,1,1,1
51316,1,1,27,46,0,0,23,23,23,3,4,2,4,3,4,3,2,2,2,2,5
77738,1,3,28,36,0,0,25,23,23,3,4,3,3,4,4,4,3,1,2,1,5
