"id","yearh","male","race","age","exp","dis","vet","jk1","jk2","jk3","con1","con2","con3","con4","emo1","emo2","emo3","emo4","int1","int2","int3","lapr"
51963,2016,1,2,30,36,0,1,32,31,29,4,3,3,3,4,4,3,2,3,3,3,3
25240,1996,1,1,32,41,0,0,26,24,26,4,4,3,3,3,4,3,3,2,1,1,3
43701,1995,1,1,28,43,0,0,25,23,25,2,2,4,3,3,4,3,3,2,1,1,4
93022,2017,0,1,33,41,0,1,27,29,28,4,5,2,4,4,2,5,2,3,3,3,5
90755,2007,1,1,29,36,0,0,27,24,28,3,2,4,3,3,4,3,3,2,3,2,1
95373,2001,1,1,26,36,0,0,26,25,24,3,4,3,3,3,3,4,2,1,1,1,2
78157,1998,0,1,33,46,0,0,25,26,27,3,3,2,3,3,4,4,3,2,3,3,5
69943,2002,1,3,27,39,0,0,28,27,27,4,4,2,4,3,4,3,2,2,2,2,3
78535,2004,1,2,27,33,0,0,25,27,28,4,4,2,4,3,3,4,2,1,2,2,3
27379,2010,1,1,30,39,0,0,29,29,29,4,4,2,4,3,4,3,3,2,3,2,3
43246,2008,1,2,24,39,0,0,29,25,25,4,5,2,4,3,5,2,3,2,2,2,5
59785,1995,0,1,29,34,0,0,27,26,28,3,3,3,4,4,3,4,2,3,3,3,2
26961,2009,1,1,32,50,0,0,27,26,29,3,3,3,4,3,4,4,2,3,3,2,4
41784,2007,1,1,27,34,0,0,25,26,27,3,3,3,3,3,4,3,3,2,3,3,4
60165,2008,0,3,24,31,0,0,22,23,24,3,2,3,3,4,3,4,2,1,2,1,3
95831,2021,0,1,30,36,0,1,26,28,26,3,3,3,3,4,3,3,2,2,2,2,1
43025,2015,1,1,31,42,0,0,28,25,28,3,3,3,3,3,4,4,2,3,2,2,4
59230,2004,1,1,33,36,0,0,29,28,27,3,4,3,3,4,3,4,2,2,3,3,1
78279,1999,0,4,26,30,0,0,29,28,26,3,3,3,3,4,3,4,1,3,2,2,3
10901,2009,0,1,26,27,0,0,21,20,21,2,2,4,2,3,4,3,3,1,1,1,1
56300,2020,0,1,26,29,1,0,24,27,26,3,2,3,3,4,2,4,2,1,1,2,3
46999,2021,1,1,28,39,0,0,26,27,26,3,3,3,3,4,3,4,2,2,2,2,4
61322,2009,0,2,28,32,0,1,25,27,27,5,4,2,5,3,4,3,3,1,2,2,3
80126,2007,1,1,33,44,0,0,24,24,25,3,2,4,2,3,3,4,3,2,2,3,3
40927,2008,1,1,38,48,0,1,28,29,29,3,3,4,3,3,3,3,3,3,3,3,3
45669,2023,1,3,28,38,0,0,29,31,30,4,4,2,4,3,3,3,2,3,2,2,4
68889,2009,1,3,28,39,0,0,26,25,25,2,3,3,3,3,4,3,3,2,1,2,3
30373,2002,1,1,35,44,0,0,30,30,30,4,3,3,3,3,3,3,2,3,3,3,3
69010,2004,0,3,27,34,0,0,26,25,26,3,3,3,3,4,4,4,2,2,2,2,3
18625,2021,0,1,30,45,0,0,27,28,27,4,3,2,3,3,3,3,3,2,3,3,5
43527,2018,1,1,32,43,0,0,24,23,26,3,3,3,3,3,4,3,3,1,1,1,3
77286,1999,1,2,33,44,0,0,28,29,30,4,4,2,4,3,4,3,4,2,3,2,2
23382,2021,1,3,30,40,0,0,26,27,27,4,4,2,4,4,3,4,3,3,2,2,4
31343,2007,1,1,25,29,0,0,25,26,28,4,3,3,4,4,2,5,2,1,2,1,3
18517,1995,0,3,28,43,1,0,30,28,30,4,4,2,4,3,4,4,2,3,3,3,4
12532,2015,1,1,30,40,0,0,28,27,28,4,2,3,3,4,3,5,2,2,3,3,4
16603,1998,1,1,24,34,0,0,28,30,30,5,5,1,5,4,3,5,1,3,1,2,4
83519,2020,1,1,26,40,0,0,27,27,26,3,4,2,4,4,3,4,2,3,3,3,5
93830,2003,1,1,25,27,0,0,26,26,24,4,4,3,3,4,2,5,2,2,2,1,1
70029,2010,1,2,29,38,0,0,28,27,27,4,3,3,3,4,3,3,2,2,2,2,3
94112,2001,0,1,25,37,0,0,23,22,24,3,3,3,3,2,5,2,4,2,2,1,2
96405,1995,1,1,33,40,0,0,27,28,29,3,2,3,3,4,3,5,2,3,3,3,3
51556,2017,0,1,28,33,0,0,26,24,27,4,4,2,4,4,3,5,2,3,2,2,2
40657,2005,1,3,29,37,0,0,28,29,29,3,3,3,3,3,4,3,2,2,2,3,1
74463,2012,1,1,25,28,1,1,29,27,29,4,4,3,4,4,3,4,1,3,2,2,1
41547,2011,1,1,32,43,0,0,26,28,28,4,4,2,4,3,4,4,3,2,2,3,4
47801,2011,0,3,21,37,0,0,24,27,26,4,4,1,5,4,3,5,2,2,2,2,5
90517,1996,1,1,29,31,0,1,30,28,29,5,5,2,4,3,4,3,3,3,3,3,4
65722,2007,1,3,33,38,0,0,31,30,29,5,3,3,3,3,4,2,2,2,2,2,1
74760,2010,1,2,28,37,0,0,29,25,27,4,4,3,3,4,4,4,2,2,2,2,5
47740,1997,1,1,26,32,0,1,32,31,28,5,5,2,5,4,4,3,2,2,3,3,5
24735,2024,0,3,31,37,0,0,30,28,26,4,4,3,2,3,4,3,2,2,3,3,3
80301,2021,1,1,29,48,0,0,27,29,28,5,4,2,4,3,3,3,2,2,2,1,4
31317,1995,1,1,31,29,0,1,28,28,28,4,4,2,4,3,3,4,3,3,3,3,3
37982,1996,1,1,26,37,0,0,31,26,25,3,5,3,3,3,5,3,3,2,2,3,3
59749,2008,1,1,29,33,0,1,24,27,24,3,4,2,3,3,4,3,3,1,1,2,2
95394,1998,0,3,28,40,0,0,25,22,23,3,3,4,3,3,5,2,3,1,2,1,2
32598,2024,1,1,33,39,0,0,28,28,28,3,2,4,3,4,3,4,3,3,3,3,5
14986,2017,1,3,34,41,0,0,24,26,26,2,1,4,2,2,5,2,4,2,3,3,1
76991,2016,1,3,33,39,0,0,28,28,30,4,3,3,4,3,4,4,2,2,3,2,4
51447,2018,1,1,22,31,0,0,26,23,24,4,5,3,4,3,4,3,3,2,1,1,2
58665,2017,1,1,26,29,0,0,21,19,21,1,2,4,3,3,4,3,4,2,1,1,1
67883,1995,1,1,23,33,0,0,26,25,26,4,4,2,4,3,4,3,2,2,1,1,3
51890,1998,1,2,26,36,0,0,28,28,26,3,4,2,4,4,3,4,1,2,2,2,2
57992,2007,1,4,27,42,0,0,25,27,26,4,4,2,4,2,4,2,3,2,2,2,3
93910,1998,1,3,28,36,0,0,26,24,25,3,3,4,3,2,5,1,4,1,1,2,1
71090,2023,1,1,25,28,0,0,26,28,30,4,3,2,4,3,3,4,2,3,3,3,4
65726,2019,1,1,26,39,0,0,20,21,22,2,3,3,4,3,4,3,3,1,1,1,3
77593,2019,1,1,31,42,0,0,26,26,28,2,1,4,2,2,5,2,4,2,3,2,2
97480,2020,1,1,29,35,0,0,26,26,28,3,3,4,3,3,4,4,3,2,2,2,2
42738,2017,1,2,28,37,0,0,24,24,25,3,2,3,3,4,3,5,2,2,2,2,4
32095,2017,1,1,25,33,0,0,25,26,28,4,3,2,4,3,3,4,2,2,2,3,5
42403,2016,1,1,26,35,0,0,27,27,28,4,4,3,4,3,3,4,2,2,1,1,2
